date,day,steps
2015-09-01,Tuesday,4765
2015-09-02,Wednesday,2180
2015-09-03,Thursday,7604
2015-09-04,Friday,1827
2015-09-05,Saturday,2221
2015-09-06,Sunday,7715
2015-09-07,Monday,13768
2015-09-08,Tuesday,10804
2015-09-09,Wednesday,12344
2015-09-10,Thursday,4142
2015-09-11,Friday,19213
2015-09-12,Saturday,7243
2015-09-13,Sunday,11610
2015-09-14,Monday,5928
2015-09-15,Tuesday,14354
2015-09-16,Wednesday,6019
2015-09-17,Thursday,4135
2015-09-18,Friday,6367
2015-09-19,Saturday,14580
2015-09-20,Sunday,11190
2015-09-21,Monday,7479
2015-09-22,Tuesday,9345
2015-09-23,Wednesday,7984
2015-09-24,Thursday,9826
2015-09-25,Friday,12823
2015-09-26,Saturday,704
2015-09-27,Sunday,5931
2015-09-28,Monday,9894
2015-09-29,Tuesday,6489
2015-09-30,Wednesday,6530
2015-10-01,Thursday,9266
2015-10-02,Friday,6626
2015-10-03,Saturday,1545
2015-10-04,Sunday,5581
2015-10-05,Monday,2082
2015-10-06,Tuesday,6635
2015-10-07,Wednesday,7715
2015-10-08,Thursday,7004
2015-10-09,Friday,5617
2015-10-10,Saturday,7604
2015-10-11,Sunday,5036
2015-10-12,Monday,2863
2015-10-13,Tuesday,4592
2015-10-14,Wednesday,10824
2015-10-15,Thursday,6653
2015-10-16,Friday,5932
2015-10-17,Saturday,9166
2015-10-18,Sunday,5390
2015-10-19,Monday,6293
2015-10-20,Tuesday,4016
2015-10-21,Wednesday,7888
2015-10-22,Thursday,10391
2015-10-23,Friday,5740
2015-10-24,Saturday,6042
2015-10-25,Sunday,4086
2015-10-26,Monday,11438
2015-10-27,Tuesday,7684
2015-10-28,Wednesday,14917
2015-10-29,Thursday,7073
2015-10-30,Friday,11042
2015-10-31,Saturday,3871
2015-11-01,Sunday,5140
2015-11-02,Monday,1142
2015-11-03,Tuesday,6262
2015-11-04,Wednesday,10415
2015-11-05,Thursday,5869
2015-11-06,Friday,9311
2015-11-07,Saturday,4103
2015-11-08,Sunday,9204
2015-11-09,Monday,8799
2015-11-10,Tuesday,6744
2015-11-11,Wednesday,10065
2015-11-12,Thursday,6358
2015-11-13,Friday,2584
2015-11-14,Saturday,6220
2015-11-15,Sunday,3578
2015-11-16,Monday,19216
2015-11-17,Tuesday,10483
2015-11-18,Wednesday,13869
2015-11-19,Thursday,8711
